path,curiosity,anomaly_mse,depth_variance,roughness,known_value_score
results\paper_images\0735MR0031500040403079E01_DXXX.jpg,0.6034556685819792,0.0055765933357179165,0.08112098276615143,0.017499612644314766,0.25
results\paper_images\curiosity_0000_Sol_958__Mast_Camera_(Mastcam).jpg,0.5930760349301175,0.004297057632356882,0.077979177236557,0.06417007744312286,0.25
results\paper_images\curiosity_1100_MAST_1460_jpg.rf.f546b807109c1df632cb62e069ded089.jpg,0.7154237897032985,0.004521204624325037,0.08872001618146896,0.04126192629337311,0.75
results\paper_images\curiosity_1100_NAVCAM_540_jpg.rf.6315c37bd960ce862e4c6161408009cf.jpg,0.8911029614698093,0.01419016346335411,0.09243719279766083,0.010094752535223961,1.0
results\paper_images\FRF_0940_0750382098_770ECM_N0460000FHAZ00206_01_295J_calib01_areo.info.jpg,0.7306831364583192,0.013128002174198627,0.07972149550914764,0.04914826527237892,0.25
